Station,ID,Elev,Latitude,Longitude,County,River Basin
BEAR CREEK AT MC KEE ROAD,MCK,167,37.3092,-120.4456,MERCED,SAN JOAQUIN R
BEAR CYN RD PRECIP NR MIDDLETOWN,BMI,2220,38.7639,-122.6808,LAKE,PUTAH CR
BEAR PEAK,BRP,8228,35.884,-118.052,TULARE,KERN R
BEAR R AT ROLLINS RESERVOIR,BRE,1945,39.133,-120.953,PLACER,BEAR R
BEAR RIVER AT CAMP FAR WEST DAM,CFW,260,39.05,-121.317,YUBA,BEAR R
BEAR TRAP MEADOW,BRM,6800,36.676,-118.858,TULARE,KAWEAH R
BEARDSLEY LAKE,BRD,3398,38.203,-120.075,TUOLUMNE,STANISLAUS R
BELDON LANDING,BDL,0,38.1869,-121.9708,SOLANO,SACRAMENTO R
BELL CANYON,BEC,750,33.5517,-117.5731,ORANGE,SANTA ANA R
BEN BOLT,BLT,1138,38.586,-121.017,EL DORADO,COSUMNES R
BEN LOMOND (CDF),BLO,2630,37.132,-122.17,SANTA CRUZ,SAN LORENZO R
BENTON,BTN,5450,37.843,-118.478,MONO,OWENS R
BERRYESSA,BER,456,38.513,-122.104,NAPA,PUTAH CR
BETHEL ISLAND,BET,9,38.04109192,-121.6321869,CONTRA COSTA,DELTA
BIG BAR,BGB,1270,40.733,-123.2,TRINITY,TRINITY R
BIG CK DIVERSION NR FISH CAMP,BGF,5400,37.46944,-119.61417,MARIPOSA,MERCED R
BIG CREEK 1,BGC,4878,37.205,-119.24,FRESNO,SAN JOAQUIN R
BIG DALTON DAM,BDD,1587,34.17,-117.808,LOS ANGELES,SAN GABRIEL R
BIG FLAT,BFL,5100,41.08,-122.942,TRINITY,TRINITY R
BIG MEADOWS (DWR),BIM,7600,36.71536636,-118.8434296,TULARE,KINGS R
BIG MEADOWS (SCS),BMW,8700,39.458,-119.946,State of Nevada,TRUCKEE R
BIG PINE CREEK,BGP,9800,37.12785721,-118.478157,INYO,OWENS R
BIG PINE FLAT,BPF,6861,34.319,-117.013,SAN BERNARDINO,SANTA ANA R
BIG PINES,BPI,3917,34.379,-117.692,LOS ANGELES,ANTELOPE VALLEY
BISHOP PASS,BSH,11200,37.1,-118.557,FRESNO,KINGS R
BLACK BUTTE,BLB,426,39.808,-122.329,TEHAMA,STONY CR
BLACK DIAMOND MINES,BKD,1600,37.95,-121.884,CONTRA COSTA,EAST BAY
BLACK MOUNTAIN,BLM,3625,35.395,-120.353,SAN LUIS OBISPO,SALINAS R
BLACK SPRINGS,BLS,6500,38.375,-120.192,CALAVERAS,STANISLAUS R
BLACKCAP BASIN,BCB,10300,37.067,-118.77,FRESNO,KINGS R
BLACKROCK,BKK,8200,36.093,-118.261,TULARE,KERN R
BLACKS MOUNTAIN,BLA,7050,40.76983643,-121.1997223,LASSEN,PIT R
BLIND POINT,BLP,0,38.03245163,-121.7190399,CONTRA COSTA,DELTA
BLOODS CREEK,BLD,7200,38.45,-120.033,ALPINE,STANISLAUS R
BLUE CANYON,BLC,5280,39.2761,-120.7081,PLACER,AMERICAN R
BLUE CANYON (DWR-2),BYM,5280,39.283,-120.7,PLACER,AMERICAN R
BLUE DOOR,BDR,5900,41.056,-120.336,LASSEN,PIT R
BLUE LAKES,BLK,8000,38.613,-119.931,ALPINE,MOKELUMNE R
BOCA RESERVOIR,BOC,5521,39.383,-120.1,NEVADA,TRUCKEE R
BOGARD RANGER STATION,BGD,5680,40.59,-121.08,LASSEN,SUSAN R
BOGGS MT PRECIP AT HOBERGS,BMH,3550,38.8389,-122.7111,LAKE,CACHE CR
BONANZA KING,BNK,6450,41.083,-122.628,TRINITY,TRINITY R
BOONVILLE,BNV,840,38.9875,-123.3486,MENDOCINO,NAVARRO RIVER
BOWMAN LAKE,BOL,5390,39.4481,-120.6536,NEVADA,YUBA R
BRANCH MOUNTAIN,BMO,3770,35.189,-120.083,SAN LUIS OBISPO,SALINAS R
BRANDY CREEK,BDY,1300,40.617,-122.567,SHASTA,SACTO VLY NE
BRAZIE RANCH,BZR,3020,41.687,-122.6,SISKIYOU,KLAMATH R
BRECKENRIDGE,BKE,7548,35.4506,-118.5839,KERN,KERN R
BRIDGEPORT,BPT,6650,38.272,-119.289,MONO,WALKER R
BRIDGEVILLE,BGV,646,40.474,-123.792,HUMBOLDT,VAN DUZEN R
BRIONES,BNE,1450,37.934,-122.118,CONTRA COSTA,EAST BAY
BROOKS,BSS,360,38.738335,-122.144722,YOLO,CACHE CR
BRUSH CREEK (DWR),BRS,3560,39.692,-121.339,BUTTE,FEATHER R
BRUSH CREEK (DWR-2),BCM,3560,39.694,-121.34,BUTTE,FEATHER R
BRUSH CREEK (SMUD),BHC,2923,38.805,-120.62,EL DORADO,AMERICAN R
BRUSH CREEK RS,BCR,3520,39.69,-121.34,BUTTE,FEATHER R
BUCHANAN DAM,BUC,450,37.213,-119.97,MADERA,CHOWCHILLA R
BUCK ISLAND LAKE,BIL,6400,39.001,-120.25,EL DORADO,AMERICAN R
BUCKS CREEK POWERHOUSE,BUP,1760,39.917,-121.333,PLUMAS,FEATHER R
BUCKS LAKE,BKL,5750,39.85,-121.242,PLUMAS,FEATHER R
BUCKS LAKE STORAGE,BCL,5168,39.897,-121.202,PLUMAS,FEATHER R
BULLARDS BAR,BUD,2100,39.3963,-121.1439,YUBA,YUBA R
BUNNING RANCH,BNR,1520,37.3678,-119.89,MARIPOSA,FRESNO R
BURNS CANYON,BNY,6000,34.208,-116.6217,SAN BERNARDINO,WHITEWATER R
BURNS CREEK DAM,BUR,319,37.377,-120.275,MERCED,MERCED R
BURNSIDE LAKE,BSK,8129,38.7194,-119.8942,ALPINE,CARSON R
BUTT VALLEY,BTV,4144,40.187,-121.186,PLUMAS,FEATHER R
BUTTE CREEK NR CHICO,BCK,300,39.72599411,-121.7088623,BUTTE,BUTTE CR
BUTTE CREEK NR DURHAM,BCD,190,39.67801285,-121.7774811,BUTTE,BUTTE CR
BUTTERCUP,BUT,320,32.74,-114.884,IMPERIAL,COLORADO R
BW-12 IMPORT TO BUTTE CREEK,BBW,2882,39.88573074,-121.6103287,BUTTE,BUTTE CR
BYRON AIRPORT,BAP,43,37.8306,-121.6225,CONTRA COSTA,DELTA
BYRON BETHANY IRRIGATION DIST DIVERSION,BBI,3,37.8298,-121.5574,CONTRA COSTA,DELTA
CACHE CREEK AT RUMSEY BRIDGE,RUM,400,38.89,-122.238,YOLO,CACHE CR
CACHE SLOUGH,CCS,0,38.295,-121.742,SOLANO,DELTA
CACHUMA LAKE,CCH,781,34.583,-119.98,SANTA BARBARA,SANTA YNEZ R
CAHILL RIDGE,CRI,1044,37.5102,-122.374,SAN MATEO,SAN MATEO CREEK
CAHUILLA,CAU,278,32.974,-115.174,IMPERIAL,COLORADO R
CAL AQUEDUCT CHECK 13 (KA007089),C13,204,37.0742,-121.0151,MERCED,SAN JOAQUIN R
CAL AQUEDUCT CHECK 21 (KA017226),C21,320,36.0142,-119.9769,KINGS,KINGS R
CAL AQUEDUCT CHECK 29 (KA024454),C29,291,35.232,-119.3299,KERN,KERN R
CAL AQUEDUCT CHECK 41 (KA030341),C41,3280,34.834,-118.7119,KERN,MOJAVE R
CAL AQUEDUCT CHECK 66 (KA040341),C66,3448,34.336,-117.3036,SAN BERNARDINO,MOJAVE R
CALAVERAS,CVE,775,37.492,-121.818,ALAMEDA,ALAMEDA CR
CALAVERAS BIG TREES,CVT,4695,38.283,-120.317,CALAVERAS,STANISLAUS R
CALAVERAS COTTAGE,CCT,822,37.488321,-121.820785,SANTA CLARA,ALAMEDA CR
CALAVERAS RANGER STATION,CVS,3360,38.198,-120.367,CALAVERAS,MOKELUMNE R
CALAVERAS ROAD,CAD,1140,37.5531,-121.8439,ALAMEDA,ALAMEDA CR
CALIFORNIA STATE UNIV AT SACRAMENTO,CSU,25,38.555,-121.416,SACRAMENTO,AMERICAN R
CALLAHAN (USFS),CHA,3136,41.333,-122.833,SISKIYOU,SCOTT R
CAMANCHE RESERVOIR,CMN,236,38.225,-121.021,SAN JOAQUIN,MOKELUMNE R
CAMINO,CMI,3000,38.833,-120.533,EL DORADO,AMERICAN R
CAMP 9,CP9,3998,34.3532,-118.4186,LOS ANGELES,SANTA CLARA R
CAMP ANGELUS,CAG,5780,34.15,-116.978,SAN BERNARDINO,SANTA ANA R
CAMP SECO RAWS,CPS,399,36.7242,-118.9425,CALAVERAS,CALAVERAS R
CAMPTONVILLE (DWR),CAM,2755,39.451,-121.049,YUBA,YUBA R
CANYON DAM,CNY,4560,40.167,-121.083,PLUMAS,FEATHER R
CAPLES LAKE,CAP,8000,38.71,-120.042,ALPINE,AMERICAN R
CAPLES LAKE (PG&E),CPL,7800,38.707,-120.048,ALPINE,AMERICAN R
CARIBOU PH,CBO,2986,40.085,-121.15,PLUMAS,FEATHER R
CARPENTER RIDGE,CAR,4812,40.069,-121.582,BUTTE,BUTTE CR
CARSON PASS,CXS,8353,38.6924,-120.0021,ALPINE,AMERICAN R
CASA VIEJA MEADOWS,CSV,8300,36.19844437,-118.2716293,TULARE,KERN R
CASE SPRINGS PENDLETON,CSS,2320,33.445,-117.418,SAN DIEGO,SANTA MARGARITA R
CASHMAN,CSH,4520,40.0019,-120.916,PLUMAS,FEATHER R
CASTAIC,CAS,1535,34.5152,-118.6101,LOS ANGELES,SANTA CLARA R
CASTAIC LAKE OUTLET (CAS00000),CSO,1535,34.527,-118.611,LOS ANGELES,SANTA CLARA R
CATHEY'S VALLEY,CVR,1200,37.3803,-120.0769,MARIPOSA,SAN JOAQUIN R
CCWD MIDDLE RIVER PP ON VICTORIA CANAL,CCW,0,37.86654,-121.54379,CONTRA COSTA,DELTA
CCWD OLD RIVER PP NEAR DISCOVERY BAY,IDB,0,37.8833,-121.577,CONTRA COSTA,DELTA
CCWD ROCK SLOUGH PP NEAR BRENTWOOD,INB,0,37.996,-121.702,CONTRA COSTA,DELTA
CEDAR GROVE,CGR,4720,36.788,-118.659,TULARE,KINGS R
CEDAR PASS,CDP,7100,41.583,-120.303,MODOC,PIT R
CENT SIERRA SNOW LAB,CSL,6900,39.325,-120.367,NEVADA,YUBA R
CHAGOOPA PLATEAU,CHP,10300,36.49714279,-118.4467163,TULARE,KERN R
CHALLENGE RANGER STATION,CHL,3200,39.483,-121.217,YUBA,YUBA R
CHARLOTTE LAKE,CRL,10400,36.77772903,-118.4266052,FRESNO,KINGS R
CHECK 13 (O'NEILL INTAKE),ONI,176,37.091,-121.036,MERCED,SAN JOAQUIN R
CHECK 20,DM2,165,36.831,-120.433,FRESNO,SAN JOAQUIN R
CHECK 21,DM3,164,36.778,-120.374,FRESNO,SAN JOAQUIN R
CHEESEBORO,CHE,1650,34.1847,-118.7172,VENTURA,VENTURA LA COASTAL
CHERRY VALLEY DAM,CHV,4765,37.967,-119.917,TUOLUMNE,TUOLUMNE R
CHESTER,CHS,4525,40.283,-121.233,PLUMAS,FEATHER R
CHICAGO,CHG,210,38.652,-121.254,SACRAMENTO,AMERICAN R
CHICO,CHI,230,39.712,-121.783,BUTTE,BUTTE CR
CHILAO,CIO,5450,34.333,-118.033,LOS ANGELES,SAN GABRIEL R
CHILKOOT MEADOW,CHM,7150,37.41,-119.49,MADERA,SAN JOAQUIN R
CITY CREEK RANGER STATION,CKC,2610,34.186,-117.181,SAN BERNARDINO,SANTA ANA R
CLAREMONT,CMO,1645,34.137,-117.707,LOS ANGELES,LOS ANGELES R
CLARK TRAINING CENTER,CRK,1720,33.8772,-117.3042,RIVERSIDE,SAN JACINTO R
CLEAR CREEK,CLR,3300,40.639,-122.667,SHASTA,SACTO VLY NE
CLEAR CREEK NR IGO,IGO,673,40.51320648,-122.5241776,SHASTA,SACRAMENTO R
CLEAR CREEK RAWS,CEK,3000,34.271,-118.153,LOS ANGELES,LOS ANGELES R
CLEAR LK - CACHE CREEK,CLA,1336,38.957,-122.642,LAKE,CACHE CR
CLIFTON COURT,CLC,3,37.8298,-121.5574,CONTRA COSTA,DELTA
COFFEE CREEK RANGER STATION,CFF,2503,41.0894,-122.7086,TRINITY,TRINITY R
COFFEE RIDGE,CFR,3040,41.083,-122.717,TRINITY,TRINITY R
COHASSET,CST,1600,39.875278,-121.770554,BUTTE,SACRAMENTO R
COLFAX,CLF,2400,39.122,-120.951,PLACER,AMERICAN R
COLGATE PH,CGT,600,39.3308,-121.19,YUBA,YUBA R
COLLINS BALDY,CLB,5493,41.775,-122.9503,SISKIYOU,KLAMATH R
COLLINSVILLE,CLL,0,38.083,-121.833,SOLANO,DELTA
CONTRA COSTA,CNT,10,37.995,-121.7,CONTRA COSTA,DELTA
CONVERSE,CON,5618,34.194,-116.913,SAN BERNARDINO,SANTA ANA R
COOSKIE MOUNTAIN,CSM,2950,40.258,-124.25,HUMBOLDT,MATTOLE R
CORDELIA PUMPING PLANT (KG002111),CPP,2,38.2276,-122.1347,SOLANO,DELTA
CORNING AIRPORT,CRG,294,39.939,-122.17,TEHAMA,SACRAMENTO R
COSUMNES RIVER AT EAGLES NEST ROAD,EGN,100,38.485,-121.26,SACRAMENTO,COSUMNES R
COSUMNES RIVER AT MICHIGAN BAR,MHB,168,38.50018692,-121.0452194,SACRAMENTO,COSUMNES R
COTTONWOOD CREEK AUXILIARY GAGE,CWA,364,40.38709641,-122.2386093,TEHAMA,COTTONWOOD CR
COTTONWOOD CREEK NEAR BEEGUM,CTN,3400,40.317,-122.881,TEHAMA,COTTONWOOD CR
COTTONWOOD LAKES,CWD,10150,36.48382568,-118.1775513,INYO,OWENS R
COUNTY LINE RAWS NR WILBUR SPRINGS,CYW,2085,39.0189,-122.4119,COLUSA,CACHE CR
COURTRIGHT (PG&E),CTG,8192,37.072,-118.967,FRESNO,KINGS R
COVELO,CLO,1487,39.826111,-123.083191,MENDOCINO,EEL R
COW CREEK (USBR),CCE,2840,40.603,-121.853,SHASTA,SACTO VLY NE
COW CREEK NEAR MILLVILLE,COW,385,40.50487518,-122.2330551,SHASTA,SACRAMENTO R
COYOTE (LAKE MENDOCINO),COY,720,39.197,-123.186,MENDOCINO,RUSSIAN R
CRABTREE MEADOW,CBT,10700,36.56368256,-118.3479462,TULARE,KERN R
CRANE VALLEY RESERVOIR (PG&E),CRR,3400,37.291,-119.526,MADERA,SAN JOAQUIN R
CRANSTON,CNS,1950,33.74,-116.841,RIVERSIDE,SAN JACINTO R
CRESTVIEW,CVW,7600,37.745,-118.983,MONO,OWENS R
CROWDER FLAT,CWF,5100,41.8934,-120.7519,MODOC,KLAMATH R
CRYSTAL SPRINGS COTTAGE,CSC,343,37.496,-122.329,SAN MATEO,SAN MATEO CREEK
DAILY X2 CALCULATION,CX2,0,37.8333,-122.4167,SAN FRANCISCO,SF BAY
DANA MEADOWS,DAN,9800,37.897,-119.257,TUOLUMNE,TUOLUMNE R
DANVILLE LIBRARY,DVB,364,37.8208,-121.9956,CONTRA COSTA,SF BAY
DAVIS RANCH,DVR,550,40.35,-122.45,TEHAMA,COTTONWOOD CR
DAY CANYON,DYC,2240,34.168,-117.537,SAN BERNARDINO,LYTLE CR
DE SABLA (DWR),DES,2710,39.872,-121.61,BUTTE,BUTTE CR
DE SABLA (PG&E),DSB,2710,39.867,-121.617,BUTTE,BUTTE CR
DEADMAN CREEK,DDM,9250,38.33159637,-119.6541138,TUOLUMNE,STANISLAUS R
DEATH VALLEY,DTV,-194,36.467,-116.867,INYO,AMARGOSA R
DEER CK FOREBAY (PG&E),DRC,4455,39.3,-120.825,NEVADA,YUBA R
DEER CREEK DAM,DEC,2320,34.169,-117.502,SAN BERNARDINO,LYTLE CR
DEL VALLE,DVL,1278,34.431,-118.666,LOS ANGELES,SANTA CLARA R
DEL VALLE CHECK 7 (KB001638),DV7,500,37.6547,-121.7419,ALAMEDA,EAST BAY
DEL VALLE CONSERVATION OUTLET WORKS,DCO,542,37.6178,-121.7468,ALAMEDA,EAST BAY
DELTA OUTFLOW,DTO,0,38.059,-122.025,SOLANO,DELTA
DELTA RUNOFF ONE DAY CALCULATION,DRO,6,38.042,-121.642,CONTRA COSTA,DELTA
DESCANSO,DSC,3480,32.857,-116.622,SAN DIEGO,SAN DIEGO R
DEVIL CANYON 2ND AFTERBAY (KA041275),DC2,2000,34.2305,-117.3405,SAN BERNARDINO,SANTA ANA R
DEVIL'S POSTPILE,DPO,7569,37.6294,-119.0847,MADERA,SAN JOAQUIN R
DEVILS GARDEN,DVG,5022,41.522,-120.668,MODOC,PIT R
DEVORE,DEV,2070,34.221111,-117.404442,SAN BERNARDINO,LYTLE CR
DIABLO CANYON,DBC,1850,37.329,-121.302,STANISLAUS,SAN JOAQUIN R
DIAMOND LN PRECIP NR GLENCOE,DLP,2140,38.34315,-120.61837,CALAVERAS,MOKELUMNE R
DIAMOND VALLEY,DMV,1756,33.67,-117.066,RIVERSIDE,SANTA MARGARITA R
DIDDY WELLS,DDW,1300,40.7,-122.1,SHASTA,SACTO VLY NE
DINKY,DKY,5668,37.06639,-119.03944,FRESNO,KINGS R
DISMAL SWAMP,DSS,7050,41.993,-120.165,MODOC,SURPRISE VALLEY
DMC HEADWORKS,DMC,200,37.78,-121.588,ALAMEDA,DELTA
DOG HOUSE MEADOW,DGH,6100,37.7626,-119.785222,MARIPOSA,MERCED R
DON PEDRO RESERVOIR,DNP,830,37.702,-120.421,TUOLUMNE,TUOLUMNE R
DONNELLS,DON,4835,38.329,-119.96,TUOLUMNE,STANISLAUS R
DONNER LAKE (DWR),DNN,5945,39.333,-120.25,NEVADA,TRUCKEE R
DOS AMIGOS PUMPING PLANT,DSA,100,36.924097,-120.825577,MERCED,SAN JOAQUIN R
DOUGHTY CUT ABOVE GRANT LINE CANAL,DGL,18,37.815,-121.425,SAN JOAQUIN,SAN JOAQUIN R
DOWNIEVILLE,DNV,2920,39.5586,-120.8292,SIERRA,YUBA R
DOWNIEVILLE,DWV,2915,39.5667,-120.8333,SIERRA,YUBA R
DOYLE (BLM),DYE,4240,40.022,-120.106,LASSEN,SUSAN R
DOYLE CROSSING,DOY,5670,40.1192,-120.483,PLUMAS,FEATHER R
DRUM POWER HOUSE,DPH,3400,39.264,-120.767,PLACER,BEAR R
DRY CREEK AT MODESTO AT CLAUS ROAD,DCM,88,37.657,-120.923,STANISLAUS,TUOLUMNE R
DRY CREEK NEAR COULTERVILLE,DCC,728,37.654,-120.312,MARIPOSA,MERCED R
DUBLIN-SAN RAMON FIRE HOUSE,DBF,355,37.732,-121.927,CONTRA COSTA,EAST BAY
DUDLEY RANCH BELOW COULTERVILLE,DUC,3654,37.741,-120.133,MARIPOSA,MERCED R
DUDLEYS (MCDIARMID FIRE STATION),DDL,3000,37.72091,-120.09614,MARIPOSA,MERCED R
DUNCAN,DUN,7100,39.144,-120.509,PLACER,AMERICAN R
DUNSMUIR TREATMENT PLANT,DNM,2170,41.2,-122.267,SISKIYOU,SACRAMENTO R
DUTCH SLOUGH AT JERSEY ISLAND,DSJ,10,38.013,-121.671,CONTRA COSTA,SAN JOAQUIN R
DYER RESERVOIR,DYR,805,37.76184,-121.676111,CONTRA COSTA,DELTA
EAGLE CREEK,EGL,6700,35.983,-118.641,TULARE,TULE R
EAST CONTRA COUNTY ID PP#1,ECD,22,37.917863,-121.625999,CONTRA COSTA,DELTA
EAST PARK RESERVOIR,EPK,1205,39.367,-122.517,COLUSA,STONY CR
EASTSIDE BYPASS BLW MARIPOSA BYPASS,EBM,115,37.205,-120.6981,MERCED,SAN JOAQUIN R
EBBETTS PASS,EBB,8700,38.561,-119.808,ALPINE,CARSON R
ECHO LAKE CONDUIT,ECH,7420,38.831,-120.037,EL DORADO,AMERICAN R
ECHO PEAK 5,EP5,7800,38.849,-120.079,EL DORADO,LAKE TAHOE
EEL RIVER (USFS),EEL,1500,39.833,-123.083,MENDOCINO,EEL R
EEL RIVER AT FORT SEWARD,FSW,320,40.21820068,-123.6325302,HUMBOLDT,EEL R
EEL RIVER AT SCOTIA,SCO,160,40.49152374,-124.0997696,HUMBOLDT,EEL R
EEL RIVER BELOW LAKE PILLSBURY 24HR AVG,ELP,1740,39.4081,-122.9703,LAKE,EEL R
EEL RIVER BELOW VAN ARSDALE DAM 24HR AVG,EVA,1400,39.3886,-123.115,MENDOCINO,EEL R
EEL RIVER CAMP,ERC,470,40.138,-123.824,HUMBOLDT,EEL R
EEL RIVER SF NR MIRANDA (AT SYLVANDALE),MRD,218,40.18180847,-123.7761459,HUMBOLDT,EEL R
EL CARISO,ECA,3038,33.65,-117.41,RIVERSIDE,SAN JACINTO R
EL PORTAL,EPW,2073,37.675333,-119.787917,MARIPOSA,MERCED R
ELK GROVE FISH HATCHERY,ELG,45,38.421,-121.374,SACRAMENTO,COSUMNES R
ELK VALLEY,ELK,1705,41.988,-123.718,DEL NORTE,SMITH R
ELLERY LAKE,ERY,9645,37.93496704,-119.2322006,MONO,MONO LAKE
EMMATON (USBR),EMM,0,38.08396149,-121.7389221,SACRAMENTO,DELTA
ENGLEBRIGHT (USACE),ENG,551,39.239,-121.267,NEVADA,YUBA R
EUREKA WOODLEY ISLAND,ERK,20,40.8,-124.167,HUMBOLDT,EEL R
FALLEN LEAF LAKE,FLL,6250,38.932,-120.056,EL DORADO,LAKE TAHOE
FALLS CK NR HETCH HETCHY,FHH,5350,37.9708,-119.7633,TUOLUMNE,TUOLUMNE R
FALSE RIVER,FAL,0,38.0558,-121.6669,CONTRA COSTA,DELTA
FANCHER CREEK,FCH,920,36.8839,-119.4658,FRESNO,KINGS R
FAREWELL GAP,FRW,9500,36.41508865,-118.5789032,TULARE,KAWEAH R
FARMINGTON (SPILL ELEV 156.5 FT),FRM,180,37.915,-120.935,SAN JOAQUIN,LITTLEJOHN CR
FARMINGTON CENTRAL ID CANAL,FR1,180,37.915,-120.935,SAN JOAQUIN,LITTLEJOHN CR
FARMINGTON STOCKTON EAST CANAL,FR2,180,37.915,-120.935,SAN JOAQUIN,LITTLEJOHN CR
FARRAR PARK,FRP,0,38.012,-121.64,SAN JOAQUIN,DELTA
FEATHER RIVER AT MERRIMAC,MER,1560,39.709,-121.27,BUTTE,FEATHER R
FEATHER RIVER AT MILE 61.6,FRA,125,39.468,-121.597,BUTTE,FEATHER R
FEATHER RIVER AT OROVILLE,FTO,149,39.522,-121.547,BUTTE,FEATHER R
FEATHER RIVER NEAR GRIDLEY,GRL,92,39.36657715,-121.6473694,BUTTE,FEATHER R
FENCE MEADOW,FEN,5048,36.961,-119.175,FRESNO,KINGS R
FIDDLETOWN,FDL,2160,38.533,-120.7,AMADOR,COSUMNES R
FIGUEROA,FIG,3200,34.734,-120.007,SANTA BARBARA,SANTA YNEZ R
FISH CREEK MOUNTAINS,FIS,760,32.983,-116.058,IMPERIAL,WEST SALTON SEA
FISHERMANS CUT,FCT,4,38.067822,-121.648838,SAN JOAQUIN,SAN JOAQUIN R
FIVE MILE,FML,4150,35.872,-117.918,INYO,KINGS R
FLORENCE LAKE (SCE),FLR,7325,37.267,-118.967,FRESNO,SAN JOAQUIN R
FLOWER MOUNTAIN,FLW,1480,37.92,-120.6803,TUOLUMNE,STANISLAUS R
FOLSOM DAM - FOLSOM POINT (DYKE 8),FLD,350,38.693054,-121.129723,SACRAMENTO,AMERICAN R
FOLSOM LAKE,FOL,466,38.683,-121.183,SACRAMENTO,AMERICAN R
FOLSOM LAKE SAFCA WCD,FSF,466,38.683,-121.183,SACRAMENTO,AMERICAN R
FORBESTOWN,FBS,2840,39.517,-121.2661,BUTTE,FEATHER R
FORESTDALE CREEK,FDC,8017,38.6824,-119.9597,ALPINE,CARSON R
FORESTHILL R S,FRH,3015,39.017,-120.85,PLACER,AMERICAN R
FORNI RIDGE,FRN,7600,38.805,-120.213,EL DORADO,AMERICAN R
FOUNTAIN SPRINGS,FTS,210,35.8911,-118.9156,TULARE,KERN R
FOUR TREES,FOR,5150,39.812365,-121.322541,PLUMAS,FEATHER R
FREMONT CANYON,FMC,1750,33.8111,-117.708,ORANGE,SANTA ANA R
FRENCH MEADOWS,FMD,5263,39.112,-120.468,PLACER,AMERICAN R
